ID,Title,Author,Date,Votes,Tags,Posts,Views
31878,Combine Window Title and Address Bar when Tabs are on the Side,mathiasbr,2018-11-01T15:51:59.685Z,62,ADDRESS BAR:TAB BAR:TITLE BAR,21,1450
24740,Add Chrome-Like URL Completion & Quicksearch,shooterbret,2018-02-05T21:26:41.776Z,52,ADDRESS BAR:SEARCH ENGINES:SEARCH:AUTOCOMPLETE,40,2764
24400,Downloads Button Popup,kurevska_registracia,2018-02-01T10:59:56.662Z,43,ADDRESS BAR:DOWNLOADS:BUTTON:MENU,17,1665
30085,Add a Load Wait Effect Before Getting a Response,hentioe,2018-09-16T06:26:20.103Z,40,ADDRESS BAR:LOADING:CONNECTION:SERVER,8,947
24964,Option to Open a URL / Search Results in a New Tab from the Address Bar with "Enter",ysul0614,2018-02-11T20:23:45.171Z,36,SHORTCUTS:ADDRESS BAR:NEW TAB,83,3686
34899,Show timer inside address bar to show waiting for response.,saudiqbal,2019-02-22T06:14:52.455Z,32,ADDRESS BAR:STATUS BAR,16,893
24576,Show Tab and Address Bar in Fullscreen by Hovering at Top of Screen,kurevska_registracia,2018-02-02T17:00:53.817Z,30,TABS:ADDRESS BAR:AUTO-HIDE,10,1771
24542,Enable/disable extensions directly from the address bar,luetage,2018-02-02T11:41:34.480Z,30,EXTENSION:ADDRESS BAR,8,1611
32866,Show Full URL by Default,knightnet,2018-12-09T15:25:35.080Z,25,ADDRESS BAR:SECURITY:URL,7,877
25209,Address Bar and Tab Bar on a Single Line,fofo,2018-02-18T18:22:46.587Z,19,ADDRESS BAR:TAB BAR,6,1064
35940,Autocomplete with just the domain part  not full URL,Avi,2019-03-28T15:10:47.625Z,19,ADDRESS BAR:AUTOCOMPLETE,4,336
36676,Support Hard Reload,terere,2019-04-18T23:51:07.794Z,16,TOOLBAR:RELOAD,11,676
25831,Multiple Simultaneous Searches Using Nicknames,karel.ulman,2018-03-12T20:09:34.476Z,15,ADDRESS BAR:SEARCH ENGINES:NICKNAMES,12,1807
