ID,Title,Author,Date,Votes,Tags
13744,Add Shortcut for Enable / Disable Mouse Gestures,im_athom3,2017-01-28T16:16:38.238Z,1,SHORTCUTS:MOUSE GESTURES
8782,Feature request: Cross platform capable,daio,2016-05-20T10:47:29.000Z,0,
21608,Adding 'Delete' to the context menu,Med1aN1ck,2017-10-16T19:34:37.239Z,5,
24139,Choose Fonts for GUI,Pesala,2018-01-31T09:29:35.587Z,41,GUI:FONTS:FONT SIZE
24146,Open New Window (over a link) Mouse Gesture,LonM,2018-01-31T09:33:18.256Z,4,MOUSE GESTURES:LINKS:NEW WINDOW
24154,Show Link Info as a Tooltip,LonM,2018-01-31T09:35:47.137Z,12,LINKS:TOOLTIPS
24169,Advanced Content Permissions,LonM,2018-01-31T09:40:07.275Z,14,
24170,Easier access to saving sessions,LonM,2018-01-31T09:40:19.843Z,6,SESSIONS
24189,Keyboard Cheat Sheet Should Default to Collapsed,Pesala,2018-01-31T09:51:00.015Z,10,SHORTCUTS:GUI:CHEAT SHEET
24191,Launch Applications with Shortcuts,Pesala,2018-01-31T09:52:24.994Z,1,SHORTCUTS:LAUNCH
24162,Proximity Search to Find Two or More Words,Pesala,2018-01-31T09:38:36.483Z,5,FIND IN PAGE
24120,A Secondary Zone for Extension Buttons,GoldNoway,2018-01-31T08:51:14.494Z,7,EXTENSION:GUI:CUSTOMIZE:BUTTONS
24218,Option to Disable Text Decoration or Edit Values,Pesala,2018-01-31T10:41:27.992Z,4,CSS
24233,Extension Installation from Opera Catalog,Nekomajin,2018-01-31T11:00:02.218Z,10,EXTENSION:OPERA
24245,Window Position Lock or Force Maximized Window,formtapez,2018-01-31T11:22:40.503Z,0,WINDOW:POSITION:LOCK
24246,Scroll-sync for tiles,bimlas,2018-01-31T11:27:35.759Z,20,SCROLLING:TILING
24242,Button or Shortcut to Pause Video Player,jkierzkowski,2018-01-31T11:12:10.330Z,10,VIDEO:AUDIO:MEDIA:PLAYER
24269,Close Tab Activation - Activate First Non-Hibernated Tab,longvoid,2018-01-31T13:53:32.276Z,1,CLOSE TABS:HIBERNATION
24201,Reduce Vertical Height of Navigation Bar in Start Page,Pesala,2018-01-31T10:00:33.453Z,4,START PAGE
24188,Find Next/Previous Without Showing Toolbar,Pesala,2018-01-31T09:49:37.593Z,13,FIND IN PAGE
24217,Mute and Remember,RammsteinAM,2018-01-31T10:40:55.999Z,16,SITE SETTINGS:MUTE:BLACKLIST
24346,Chat Client Like Opera Presto,burbuja,2018-01-31T22:38:50.338Z,8,CHAT
24360,Faster Assignment of Tab Tiling,Asires,2018-02-01T01:57:54.659Z,4,SHORTCUTS:TILING
24372,Search History/Quick Commands by page names containing my words,neltherion,2018-02-01T07:47:17.029Z,3,
24374,Sort Search Engines by Name,neltherion,2018-02-01T07:49:31.822Z,7,SEARCH ENGINES:SORT
24377,Use One Shortcut to Cycle between Tiled Tab Views,neltherion,2018-02-01T07:54:21.457Z,3,SHORTCUTS:TILING
24416,Expand / Collapse Bookmark Folders with Single-click,becm,2018-02-01T12:33:53.851Z,7,BOOKMARK FOLDER
24420,Implement Segment Break Transformation Rules,yudai-nkt,2018-02-01T13:18:26.008Z,2,TEXT:FORMATTING
24422,Emulate Handheld Mode,Pesala,2018-02-01T13:27:59.113Z,1,MOBILE:DEVELOPER TOOLS:DISPLAY
24455,Option to Activate Pinned Tabs only After Clicking,CheVe11e_191,2018-02-01T20:31:21.176Z,1,PINNED TABS:HIBERNATION
24458,Speaker Icon Appearance with Animations Disabled,CheVe11e_191,2018-02-01T20:47:06.240Z,5,GUI:ICONS:ANIMATIONS
24460,Persistent Page Actions,LonM,2018-02-01T21:04:31.896Z,10,PAGE ACTIONS:PIN
24373,Smooth Scrolling like Microsoft Edge,neltherion,2018-02-01T07:48:25.646Z,8,SMOOTHSCROLLING
24472,Middle-click Scrolling Anywhere on the Page,Stardust,2018-02-01T21:44:00.047Z,1,SCROLLING:MIDDLE-CLICK
24490,Download speed graph,ROTFL,2018-02-01T23:51:46.347Z,18,DOWNLOADS
24516,Classic Browser Title Bar with Webpage Title and Application Icon,MVV_,2018-02-02T06:17:44.543Z,1,GUI:ICONS:TITLE BAR
24496,Easy removal of remembered form logins / passwords / inputs,ROTFL,2018-02-02T00:17:34.556Z,4,AUTOCOMPLETE:CLEAR:FORM FILLING
24521,Device (instance) listing & management for Sync with configuration options per instance,ROTFL,2018-02-02T09:36:38.389Z,13,SYNC:SPEED DIAL:SECURITY
24523,Enhance Extensions API,zakius,2018-02-02T09:53:38.325Z,3,EXTENSION:API
24526,Thumbnails auto-refreshing options,ROTFL,2018-02-02T10:30:24.107Z,6,SPEED DIAL:THUMBNAILS
24530,Screencast,dominicw2,2018-02-02T10:55:49.263Z,4,VIDEO:SCREENSHOT
24456,Add Option to Check for Updates from Quick Command,CheVe11e_191,2018-02-01T20:33:06.957Z,2,QUICK COMMANDS:UPDATE
24547,Ad-hoc Peer to Peer services,ROTFL,2018-02-02T11:57:48.780Z,1,PEER-TO-PEER
24551,Dynamic DNS for Vivaldi.net account,ROTFL,2018-02-02T12:19:45.120Z,1,REMOTE SESSIONS:DNS
24550,Use Nicknames in the Search Field,josephj11,2018-02-02T12:15:18.951Z,1,SEARCH ENGINES
24158,Three-way Toggle for View Status Bar,Pesala,2018-01-31T09:36:51.639Z,22,SHORTCUTS:STATUS BAR
24573,Hibernate New Background Tabs,tcely,2018-02-02T16:48:33.119Z,5,HIBERNATION:BACKGROUND TAB
24270,Update Channels,secondtruth,2018-01-31T14:09:20.034Z,1,AUTOUPDATE
24292,Private Tab/Window Option for Handled URLs,sdgreene,2018-01-31T17:07:04.198Z,1,PRIVACY
24287,Get File Date/Time of Downloads from Server,d_A_y_x,2018-01-31T16:30:21.582Z,10,DOWNLOADS:DOWNLOADMANAGER
24588,Webpage "harvester" for saving a batch of websites,ROTFL,2018-02-02T19:17:05.899Z,2,DOWNLOADS:DOWNLOADMANAGER
24528,Better Windows 10 tile,dominicw2,2018-02-02T10:52:54.231Z,22,ICONS:WINDOWS 10
24507,Themes from Chrome  Firefox  or Other Sources,wantluckman,2018-02-02T03:52:06.334Z,2,WILL NOT DO
24607,Copy Page Address on Tab Context Menu,Pesala,2018-02-03T05:03:37.240Z,8,MENUS
24625,Pin widgets to taskbar,awking,2018-02-03T12:17:19.295Z,2,TASKBAR:PIN
24628,Middle-click on Bookmark Bar Subfolders to Open All,eXzentrik,2018-02-03T13:13:10.015Z,5,BOOKMARKS BAR:MIDDLE-CLICK
24639,Option to Show Site Info Text on Hovering over the Padlock,Hadden89,2018-02-03T14:43:48.547Z,3,GUI:SITE SETTINGS
24644,Bookmark Manager like Opera 12 or Classic Chrome,bionioncle,2018-02-03T18:19:33.099Z,2,MANAGEBOOKMARKS
24677,Clear Current Typed Search Term,vongalin,2018-02-04T15:24:36.524Z,2,PRIVACY:CLEAR
24651,Organising Downloads: Quickly Choose Folders for Saving,qwc,2018-02-03T21:04:43.830Z,0,DOWNLOADS:SAVING FILES
24652,Cloud Synchronization of Multiple Vivaldi Instances,qwc,2018-02-03T21:15:51.199Z,13,SYNC
24683,Vivaldi application icon color choice,luetage,2018-02-04T20:19:47.904Z,5,VIVALDI:ICONS
24692,Scroll Bar on the Left for Left-handed Users,kenny_n,2018-02-05T03:26:45.602Z,6,GUI:SCROLLBAR:LEFT-HANDED
24515,A button for installing extension from disk,MVV_,2018-02-02T06:13:27.177Z,2,EXTENSION:INSTALLER
24216,Lightspeed Navigation Mode,mikelopiccolo,2018-01-31T10:40:42.765Z,6,NAVIGATION
24585,Advanced "Find in page",ROTFL,2018-02-02T18:48:14.996Z,18,FIND IN PAGE
24626,Typo Suggestions Should always be Available from the Context Menu,Dantesoft,2018-02-03T12:39:47.706Z,9,MENU:SPELLCHECK
24729,Choose and order top items in context menus  tab menu especially,TyrianMollusk,2018-02-05T15:37:22.692Z,0,GUI:CUSTOMIZE:MENUS
24179,Bubble context controls,LonM,2018-01-31T09:44:30.131Z,9,VIDEO:MEDIA:PLAYER
24322,Option to switch off certain javascript options,ghpy,2018-01-31T20:00:58.418Z,13,JAVASCRIPT:SITE SETTINGS
24382,Drag and Drop Tiled Tabs,Pesala,2018-02-01T08:23:44.681Z,18,TILING:DRAGANDDROP
24742,Threaded Browser GUI  Keyboard & Mouse Input Events,dude99,2018-02-05T22:06:32.122Z,4,RESPONSIVENESS:MULTITHREADING
24172,Searching should alert when the first match (where the search began) reached again,bimlas,2018-01-31T09:40:47.048Z,25,FIND IN PAGE
24324,Move site settings to right click menu,david.cortes,2018-01-31T20:07:43.795Z,3,GUI:MENUS:SITE SETTINGS
24700,Keyboard equivalent for mouse gestures,Fendar,2018-02-05T08:43:57.597Z,2,SHORTCUTS:MOUSE GESTURES:KEYBOARD
24775,On Private: Open link in normal window,yes.aravind,2018-02-06T15:50:59.067Z,1,LINKS:PRIVATE WINDOW
24450,Don't Hibernate Pinned Tabs,CheVe11e_191,2018-02-01T20:18:12.910Z,10,PINNED TABS:HIBERNATION
1150,Proxy and Kerberos,saigkill,2015-02-01T08:55:01.000Z,2,PROXY
24315,Option to generally copy to clipboard without format,ghpy,2018-01-31T19:45:54.739Z,14,COPY:TEXT
24802,Assign Shortcuts to Individual Notes,holotaco,2018-02-07T08:55:12.015Z,1,SHORTCUTS:NOTES
24823,Combine Synced Tabs and Trashcan,luetage,2018-02-07T20:16:58.067Z,4,SYNC:GUI:TRASHCAN
24759,Remove "Validate" from context menu,kurevska_registracia,2018-02-06T12:46:01.439Z,3,CUSTOMIZE:MENUS
24174,Option to detect mobile touch icons instead of thumbnails,LonM,2018-01-31T09:42:03.293Z,24,SPEED DIAL:ICONS
