ID,Title,Author,Date,Votes,Tags
24605,Open Subsequent Folders on Bookmarks Bar with Hover,CK13,2018-02-03T04:31:29.275Z,34,BOOKMARKS BAR
36669,Profile: Set Default Startup Profile,SheldonS,2019-04-18T17:14:12.462Z,3,STARTUP:PROFILES
34012,Icon for Picture in Picture,Seasonly,2019-01-22T09:56:07.407Z,16,ICONS:PIC-IN-PIC
36611,Button to close tabs in the F2 menu,Vincent500,2019-04-16T17:41:19.809Z,9,TABS:QUICK COMMANDS
24486,History / address bar blacklist ("Forget about this site"),ROTFL,2018-02-01T23:32:12.222Z,17,ADDRESS BAR:HISTORY:BLACKLIST
25214,On-Demand / Click To Enable Plugins & Media,ideala2,2018-02-18T22:27:26.590Z,19,VIDEO:AUDIO:MEDIA:PLUGIN
36632,Support WebExtensions (and improve them too),zakius,2019-04-17T13:11:03.127Z,0,EXTENSIONS
36615,Option to keep sidepanel visible in fullscreen,Vincent500,2019-04-16T18:50:56.104Z,0,FULLSCREEN:SIDEBAR:SIDEPANEL
36612,Expose extension commands in Keyboard and Mouse config,zakius,2019-04-16T18:21:18.791Z,4,SHORTCUTS:EXTENSIONS
36499,Provide Different Options For Tab Cycling By Mouse & Tab Cycling By Keyboard,neltherion,2019-04-12T08:02:35.389Z,2,TAB CYCLING:MOUSE-WHEEL:TAB SWITCH
36565,Option to start browser in fullscreen,Vincent500,2019-04-14T19:58:18.215Z,1,SETTINGS:STARTUP:FULLSCREEN
30999,Make syncing remote sessions independent from syncing history of typed data,ROTFL,2018-10-08T10:09:47.423Z,1,SYNC:HISTORY:REMOTE SESSIONS
24203,Zoom Start Page Thumbnails to Fit,Pesala,2018-01-31T10:02:58.286Z,55,SPEED DIAL:ZOOM:IN PROGRESS
31658,TouchPad Gestures for History Navigation,chriscochrun,2018-10-26T02:33:14.442Z,7,NAVIGATION:MOUSE:GESTURE
24656,Confirmation before deleting note attachments,ROTFL,2018-02-03T23:22:05.585Z,5,NOTES:ATTACHMENTS
36542,Auto-hide overlay panel after mouse-out X time pass,dude99,2019-04-13T18:49:18.062Z,3,AUTO-HIDE:PANEL
29761,Synchronization of entire history,ROTFL,2018-09-03T10:24:33.190Z,13,SYNC:HISTORY
24492,Align URLs in history for readability,ROTFL,2018-02-02T00:02:31.677Z,6,GUI:HISTORY
36567,Choose Profile for New Window or Tab,dies_felices,2019-04-14T22:54:07.582Z,0,WINDOW:TAB:PROFILE
36175,Different icons for different modes,terere,2019-04-03T12:24:40.010Z,8,PRIVATE WINDOW:PROFILES
24176,Concatenate Commands,Pesala,2018-01-31T09:42:56.960Z,38,SHORTCUTS
28995,Remembering Previous Download Folders,Mike_B,2018-07-26T11:56:11.984Z,6,DOWNLOADS
24407,M3 mail & RSS-reader,NoAidee,2018-02-01T11:56:35.690Z,32,IN PROGRESS
32505,Custom Quick Commands,LonM,2018-11-24T20:27:11.728Z,15,CUSTOMIZE:QUICK COMMANDS
36471,Tablet mode,versuri,2019-04-11T10:36:23.607Z,0,TABLET:FINGERS:GESTURES
36445,Login to public networks,milamber,2019-04-10T17:14:17.649Z,0,NETWORK
24190,Image Properties as a Dialogue,Pesala,2018-01-31T09:51:35.572Z,44,GUI:IMAGE
25189,Battery Saver Mode,CheVe11e_191,2018-02-18T09:46:57.271Z,33,POWERMANAGEMENT
36421,Enable drag window on sidepanel,runekid,2019-04-10T08:46:20.456Z,0,GUI:WINDOW
36404,Change Search Engine Button in Quick Commands,AmberZephyr,2019-04-09T21:16:05.654Z,1,SEARCH ENGINES:QUICK COMMANDS
