ID,Title,Author,Date,Votes,Tags,Posts,Views
24595,Add Searchable Tags for Bookmarks,josephj11,2018-02-02T21:44:18.401Z,86,BOOKMARKS:TAGS,10,2154
24491,Duplicated bookmark detection / cleanup,ROTFL,2018-02-01T23:55:00.884Z,78,BOOKMARKS:PIPELINE:CLEANUP,28,3068
24479,Sync custom Speed Dial thumbnails,ROTFL,2018-02-01T22:57:16.058Z,70,SYNC:SPEED DIAL:THUMBNAILS:PIPELINE,15,1566
24531,Create New Folder when Bookmarking Page,dominicw2,2018-02-02T10:58:05.477Z,66,BOOKMARKS:GUI:BOOKMARK FOLDER,20,1667
24867,Auto Detect Logos + Select Part of the Page for Speed Dial and Bookmark Thumbnails,hrh_fourtyseven,2018-02-09T05:56:27.575Z,49,SPEED DIAL:THUMBNAILS,3,824
24228,Dedicated Bookmarks Folder for Web Panels,luetage,2018-01-31T10:55:13.995Z,46,BOOKMARKS:PANELS,7,1142
24347,Store Custom Speed Dial Thumbnails,AltCode,2018-01-31T22:39:30.488Z,39,SPEED DIAL:THUMBNAILS,5,1578
24497,Keep multiple backups of sessions / bookmarks / notes / ...,ROTFL,2018-02-02T00:21:33.395Z,36,BOOKMARKS:NOTES:SESSIONS:BACKUP,13,1859
24113,Go Back to Parent Folder in Speed Dial,RayAlpha,2018-01-31T08:30:28.188Z,35,SPEED DIAL:NAVIGATION,26,2347
25418,Sort Bookmarks by Folders First,neltherion,2018-02-24T06:09:51.112Z,31,BOOKMARKS:SORT BOOKMARKS,8,1093
29371,Bookmark Manager Improvements,kmedeiros,2018-08-14T18:23:57.897Z,29,BOOKMARKS:MANAGEBOOKMARKS,11,1702
26593,Collapse Folders when Adding a Bookmark,oskark,2018-04-10T13:18:21.888Z,27,BOOKMARKS,14,1691
24592,Drop-down bookmarks menu button on the Address Bar,Stardust,2018-02-02T20:31:35.359Z,26,BOOKMARKS:ADDRESS BAR:MENUS,7,2118
24199,Permanently Delete Bookmarks or Notes with Shift Delete,Pesala,2018-01-31T09:58:39.228Z,26,BOOKMARKS:SHORTCUTS:NOTES,1,544
24161,Full Mouse Gesture Support in Speed Dial,LonM,2018-01-31T09:38:00.556Z,26,SPEED DIAL:MOUSE GESTURES,5,834
28972,Keep Current Bookmark Selected After Cancelling Tree Search,Marc Sigrist,2018-07-25T16:35:26.573Z,25,BOOKMARKS:SEARCH:TREE-STYLE,13,748
30201,Dedicated Bookmarks Folder for Search Engines,duarte.framos,2018-09-21T00:53:24.445Z,24,SEARCH ENGINES:BOOKMARK FOLDER,24,1528
24629,Option for Bookmarks Bar Folder to Stay Open after Opening a Bookmark,eXzentrik,2018-02-03T13:15:10.977Z,23,BOOKMARKS BAR,11,1195
24244,Device-specific Speed Dials,awking,2018-01-31T11:18:46.638Z,23,SYNC:SPEED DIAL,6,733
24392,Delete Bookmark Thumbnails,Pesala,2018-02-01T10:05:22.543Z,22,BOOKMARKS:THUMBNAILS,11,898
25338,Right-click Editing of Bookmarks Name and URL,browseruser,2018-02-22T08:56:23.160Z,20,BOOKMARKS:CONTEXT MENU:URL,3,1102
27150,Use Icon from Web App Manifest.json on Speed Dial,mrmamen,2018-05-03T11:12:23.876Z,20,SPEED DIAL:ICONS,7,1045
33320,Notes for the Bookmark Panel,Martin.Storch,2018-12-21T22:03:23.272Z,20,,11,1225
24326,Split Bookmark Pane,Rongar,2018-01-31T20:23:27.406Z,19,BOOKMARKS:PANELS,7,785
34405,Colored Bookmark Folders and Separator Bars,tristanhenderson,2019-02-07T11:53:44.143Z,19,BOOKMARKS:GUI,9,341
26215,Drag and Drop to Reorder Speed Dial Pages,The_Fireplace,2018-03-26T22:07:49.130Z,17,SPEED DIAL:DRAGANDDROP:NAVIGATION BAR,10,1479
29009,Option for Most Visited Sites on Speed Dial,Beardedgeek72,2018-07-26T22:18:50.836Z,17,SPEED DIAL:MOST VISITED,5,722
28833,Export Bookmarks from Bookmarks Manager,latisullivan,2018-07-21T00:47:08.135Z,16,BOOKMARKS:EXPORT:MANAGEBOOKMARKS,9,868
29084,Assign Shortcuts to Speed Dials,Darth904,2018-07-30T23:10:36.256Z,16,SHORTCUTS:SPEED DIAL,12,1035
25561,Limit the Width of Bookmark Menu Folders,Pesala,2018-03-01T13:20:37.984Z,15,BOOKMARKS:GUI:CUSTOMIZE:MENUS:BOOKMARK FOLDER,6,1662
24157,Remember Last Active Speed Dial Folder per Window,PlusMinus0,2018-01-31T09:36:38.540Z,15,SPEED DIAL:WINDOW,14,1257
24229,Windows 8 / Metro Style Speed Dial,Nekomajin,2018-01-31T10:55:49.609Z,15,SPEED DIAL:THUMBNAILS:WINDOWS,2,1114
24532,Bookmark Same Page in Multiple Folders,dominicw2,2018-02-02T11:00:06.673Z,13,BOOKMARKS,5,506
32095,Option for Colored Bookmark Folders,FatihSultan,2018-11-09T17:13:00.112Z,13,BOOKMARKS:COLOR:BOOKMARKS PANEL,2,405
38035,Add a choice when making Vivaldi thumbnails,SakuraAyumi,2019-06-10T16:34:21.589Z,13,BOOKMARKS:SPEED DIAL:THUMBNAILS,13,685
24168,Support for Speed Dial Thumbnail Packs,LonM,2018-01-31T09:39:56.530Z,11,SPEED DIAL:THUMBNAIL PACK,1,493
37498,Thumbnail view for bookmarks.,System32,2019-05-18T23:16:30.575Z,11,BOOKMARKS:THUMBNAILS,3,232
40549,Creating thumbnails for speed dial from OpenGraph tags,vmv,2019-09-18T11:12:03.590Z,11,,3,59
48329,Bookmarks should store the date/time of the last visit,rkzn,2020-06-20T11:43:56.060Z,11,,4,76
27159,Allow renaming separators,CheVe11e_191,2018-05-03T15:11:11.461Z,10,BOOKMARKS:NOTES:SEPARATOR,3,712
26286,Add Bookmarks to Top or Bottom of Folder,ronyxs,2018-03-28T22:15:39.624Z,10,BOOKMARKS,13,1743
25188,Add a Button to Collapse Folders,CheVe11e_191,2018-02-18T09:42:55.197Z,10,BOOKMARKS:PANELS:NOTES:WINDOW:BUTTON,3,749
30210,Screen Capture Tool: Save as Bookmark Thumbnail,kingsteved,2018-09-21T17:38:43.926Z,10,BOOKMARKS:THUMBNAILS:SCREEN CAPTURE,4,391
30277,Speed Dial Navigation Using Arrow Keys,Stardust,2018-09-23T21:09:56.820Z,10,SHORTCUTS:SPEED DIAL:NAVIGATION,4,469
25622,Speed Dial Custom Thumbnail via URL,kd8bny,2018-03-03T21:19:06.532Z,10,SPEED DIAL:THUMBNAILS:URL,1,609
24960,Edit the Speed Dial URL from the Context Menu,jonr257,2018-02-11T17:02:09.956Z,10,SPEED DIAL:CONTEXT MENU,3,760
24643,Auto Update Speed Dial Thumbnails,CheVe11e_191,2018-02-03T18:05:51.787Z,10,SYNC:SPEED DIAL,4,1383
30469,Different Profiles to Sync Bookmarks,Totonyus,2018-09-27T13:42:08.914Z,10,BOOKMARKS:SYNC,3,437
31110,Display a Favicon of my own for a Bookmark,drkh,2018-10-11T09:33:05.432Z,10,BOOKMARKS:FAVICONS,5,466
24394,Remove the Expand/Collapse Folder Triangles,Pesala,2018-02-01T10:13:56.638Z,9,BOOKMARKS:GUI,10,1251
24316,Option for Bookmarks and Speed Dials to Save Zoom Settings,ghpy,2018-01-31T19:52:41.489Z,8,BOOKMARKS:SPEED DIAL:ZOOM,1,495
26455,Multiple Nicknames for Bookmarks,jwoodard80,2018-04-04T13:46:01.175Z,8,BOOKMARKS:NICKNAMES,10,1831
24667,Open History and Bookmark Tabs from the History and Bookmark Panels,Seasonly,2018-02-04T09:56:43.490Z,8,BOOKMARKS:SHORTCUTS:PANELS,8,731
25680,Option for Rounded Speed Dial Thumbnails,Artex,2018-03-06T02:39:45.099Z,8,SPEED DIAL:CUSTOMIZE,1,809
24638,Allow Bookmark / History / Calendar Details to be Shown with a Horizontal Layout,Hadden89,2018-02-03T14:28:10.716Z,7,BOOKMARKS:GUI:HISTORY:FORMATTING,2,690
24171,Completely Delete an Empty Item,LonM,2018-01-31T09:40:40.243Z,7,BOOKMARKS:NOTES:DELETE,2,585
29182,Option to Place Bookmarks Bar on the Side,AshRek,2018-08-04T11:09:50.318Z,7,BOOKMARKS BAR:AUTO-HIDE,10,1168
30128,Enable Ctrl+Z to Undo Bookmark Changes,klav,2018-09-17T21:10:09.401Z,7,BOOKMARKS:SHORTCUTS,2,332
24239,Local Speed Dial Menu,awking,2018-01-31T11:10:21.270Z,7,SPEED DIAL,3,477
30460,Enlarge Bookmarks Bar Icons on Hover,andydelz,2018-09-27T12:25:38.708Z,7,BOOKMARKS BAR:ICONS:HOVER,2,430
32401,Create Start Page Folders by Drag and Drop,Pesala,2018-11-21T06:22:19.667Z,7,SPEED DIAL:THUMBNAILS:DRAGANDDROP,2,296
25693,Add "Open Bookmarks in Tiles" to Bookmark Folder Context Menu,dragon.sails2,2018-03-06T10:19:21.756Z,6,BOOKMARKS:CONTEXT MENU:TILING,8,1267
25692,Import Firefox Tags as Nicknames,pinakel,2018-03-06T10:14:04.416Z,6,BOOKMARKS:IMPORT:NICKNAMES:TAGS,6,1180
30768,Function to Reload Bookmark Icons,tehstoni,2018-10-02T12:36:24.663Z,6,BOOKMARKS:BOOKMARKS BAR:ICONS:IMPORT,1,430
33796,Apply Speed Dial Background Image with Drag 'n Drop,Hadden89,2019-01-13T15:45:05.050Z,6,BOOKMARKS:START PAGE:DRAGANDDROP:BACKGROUND,4,397
34121,Bookmarks "date-time" field to enable maintaining chronological order,mini,2019-01-25T21:41:31.700Z,6,BOOKMARKS,1,165
37478,Open bookmark folders with a single click instead of a double click,Crayon,2019-05-18T08:19:16.814Z,6,BOOKMARKS:BOOKMARK FOLDER,9,272
26320,Private Mode for Bookmarks,terere,2018-03-30T10:03:44.076Z,5,BOOKMARKS:PRIVATE MODE,1,489
24711,A new kind of bookmark that actively saves your place in browsing,TyrianMollusk,2018-02-05T12:20:56.358Z,5,BOOKMARKS,3,451
26634,Make bookmark separators visible on Speed Dial,ROTFL,2018-04-12T05:36:04.408Z,5,SPEED DIAL:SEPARATOR,1,443
25616,Next/Previous Arrows in Speed Dial,solidsnake,2018-03-03T16:59:41.012Z,5,SPEED DIAL:NAVIGATION,2,754
25108,Extensions to Speed Dial,mentat,2018-02-15T14:39:50.080Z,5,EXTENSION:SPEED DIAL,3,538
30930,Touch Screen Support for Speed Dial,wolvenstorm,2018-10-06T08:47:52.909Z,4,SPEED DIAL:SCROLLING:TOUCH SCREEN,12,697
25240,Enable JSON export and import of bookmarks  ability to overwrite existing,RBV,2018-02-19T17:20:06.323Z,5,IMPORT:EXPORT,1,394
36643,Option to open all bookmarks in a folder in the bookmark menu,Blubbeh,2019-04-17T21:39:52.070Z,5,BOOKMARKS:MENU,10,566
24663,Possibility to search and open bookmark just by keyboard,tprochazka,2018-02-04T01:25:34.291Z,3,BOOKMARKS:KEYBOARD,4,903
26393,Add folder option to Bookmark Panel/Manager items,ozoratsubasa,2018-04-02T00:17:40.083Z,4,BOOKMARKS PANEL:MANAGEBOOKMARKS,10,1163
30275,Option to Disable Reload Button on Speed Dial,Stardust,2018-09-23T20:34:56.788Z,3,SPEED DIAL:RELOAD,6,766
32249,Search Field on Add Bookmark Dialog,dalinar,2018-11-15T08:09:41.780Z,3,BOOKMARKS:SEARCH,5,495
38684,Add new bookmark to bottom of folder instead of top when drag & dropping,amasokin,2019-07-06T22:21:40.706Z,4,BOOKMARKS:BOOKMARK FOLDER,3,167
42426,Drag and Drop New Bookmarks into Bookmarks Bar Folders,BaronAsh,2019-11-28T17:59:58.566Z,4,,8,116
45754,Allow Dragging of URLs to create Bookmarks in Bookmark Bar Folders and Subfolders,Daladdine,2020-04-15T21:23:29.291Z,4,,9,82
51320,Update Bookmark Thumbnails Recursively,BoneTone,2020-10-02T23:38:29.587Z,4,,2,25
26978,Allow to Hide Preview on Add Bookmark Dialogue,Hadden89,2018-04-26T20:53:31.591Z,3,BOOKMARKS:PREVIEW,2,507
26907,Export Bookmark Nicknames,zdm,2018-04-25T06:30:48.426Z,2,BOOKMARKS:EXPORT:NICKNAMES,5,880
25371,Smart Bookmarking: Suggest a "Better" Page,ryofurue,2018-02-23T03:26:26.228Z,2,BOOKMARKS,1,446
24940,Speed Dial Tabs should be Discarded when Startup Option is "Last Session",AnrDaemon,2018-02-11T02:43:45.503Z,3,SPEED DIAL:STARTUP,1,627
30066,Change Speed Dial Thumbnail Delete Icon,MaxKarlErnst,2018-09-15T07:49:56.424Z,3,SPEED DIAL:ICONS,9,911
26128,Return to same Speed Dial page when Opening a New Tab,mbdiener,2018-03-23T15:25:51.740Z,3,SPEED DIAL,1,395
29522,Speed Dial Autoupdate,fiskrond,2018-08-22T05:27:08.068Z,3,SPEED DIAL:AUTOUPDATE,11,1268
31650,Hide All Favicons Option,joelandsonja,2018-10-25T20:36:23.430Z,3,BOOKMARKS:BOOKMARKS BAR:ICONS:BOOKMARK FOLDER,1,337
32474,Sort Alphabetically while Adding a Bookmark,internetuser999,2018-11-23T15:28:11.346Z,3,BOOKMARKS:SORT BOOKMARKS,3,304
32509,Drag and Drop Bookmark Position in Folder,matiasmovie,2018-11-25T00:23:49.392Z,3,BOOKMARKS:DRAGANDDROP:BOOKMARK FOLDER:POSITION,4,615
32537,Option to Drag Trash Folder in Bookmarks and Notes Panels,WolfeP,2018-11-26T06:42:10.833Z,2,BOOKMARKS:BOOKMARKS PANEL,7,573
33374,Full-text Search,nfsmaniac,2018-12-23T23:38:32.495Z,3,BOOKMARKS:SEARCH,1,260
34285,Add 'Folder' field to bookmark properties in bookmark panel.,MoonDogg,2019-02-02T19:45:50.293Z,3,BOOKMARKS PANEL,18,499
34480,Use Web Search for Custom Bookmark Thumbnails,greibush,2019-02-08T16:22:10.007Z,3,BOOKMARKS:CUSTOMIZE:THUMBNAILS,2,332
35110,Select unique Bookmark Bar per Vivaldi instance,MoonDogg,2019-03-01T18:19:55.747Z,3,BOOKMARKS BAR,2,248
36117,Navigate bookmark tab and panel via the keyboard,libcub,2019-04-02T07:25:42.910Z,3,BOOKMARKS:KEYBOARD:BOOKMARKS PANEL,1,136
36374,Add stack to bookmarks with a specific name,Kaosce,2019-04-09T07:18:06.304Z,3,BOOKMARKS:TAB STACKS,3,179
37580,History of Recently Saved Bookmark Locations,bullibulli,2019-05-21T23:51:29.925Z,3,BOOKMARKS,2,145
38363,Copy-paste selected bookmarks between different Vivaldi profiles,SakuraAyumi,2019-06-23T11:54:24.288Z,3,BOOKMARKS:PROFILES,3,218
39781,Go to parent speed dial folder by clicking empty space,Kevinar,2019-08-30T15:50:52.421Z,3,SPEED DIAL:START PAGE,4,56
41195,A command to open a URL file in Vivaldi,Montiverdi,2019-10-06T01:28:30.257Z,3,,1,40
46229,Keyboard shortcut to add page directly to Speed Dial,AV1,2020-04-25T13:27:38.926Z,3,,1,24
33118,Bookmark Bar - Open All in Tabs,campanij,2018-12-16T13:39:58.441Z,3,BOOKMARKS BAR,2,250
25855,Ability to load Favicons of the Bookmarks in One Click,longvoid,2018-03-13T17:23:28.358Z,2,BOOKMARKS:FAVICONS,1,588
25388,Scripted bookmarks,eriklothe,2018-02-23T12:35:46.015Z,2,BOOKMARKS:SCRIPTING,9,1196
24609,Navigate Bookmark Bar with Keyboard,Pesala,2018-02-03T05:31:33.059Z,2,BOOKMARKS:GUI:BOOKMARKS BAR,2,510
24184,Collapse/Expand Folder Trees with FlipBack/FlipForward,Pesala,2018-01-31T09:45:54.906Z,2,BOOKMARKS:PANELS:GUI:MOUSE GESTURES,2,624
29335,Linkify Bookmarks Folders for Speed Dial,Ouroboros4545,2018-08-12T14:45:08.234Z,2,BOOKMARKS:SPEED DIAL,1,297
29179,Customize behavior for opening a folder of bookmarks at once...,TsunamiZ,2018-08-04T09:27:01.976Z,2,BOOKMARKS:ACTIVE TABS,6,490
27892,Naming New Speed Dial Bookmarks While Adding them,AllanPettersson,2018-06-08T09:35:08.696Z,2,SPEED DIAL:RENAME,3,620
26789,New Speed Dial: Refresh Thumbnail by Default,aBjelke,2018-04-19T11:42:17.748Z,2,SPEED DIAL:THUMBNAILS,1,501
24927,Speed Dial Tile Group,nfsmaniac,2018-02-10T20:05:38.693Z,2,SPEED DIAL:TAB GROUPS,3,647
31113,Bookmark Auto-Backup,acnapyx,2018-10-11T13:02:38.715Z,2,BOOKMARKS:BACKUP,5,527
32013,Date Visited in Bookmark Panel Details Pane,O_Love,2018-11-07T10:42:45.950Z,2,BOOKMARKS:VISITED,3,228
32307,Autohide  Hide  Make Navigation Bar Transparent on Start Page,AlexSkywalker,2018-11-17T13:55:29.748Z,2,START PAGE:AUTO-HIDE:NAVIGATION BAR,5,544
33392,Show Bookmark Bar Folder Names on Hover,minsk1511,2018-12-25T00:41:56.643Z,2,BOOKMARKS BAR:FOLDER,1,280
34018,Bookmark option to "replace with current URL"...,TsunamiZ,2019-01-22T15:26:29.992Z,2,,5,247
28804,Can't tell folders and bookmarks apart when bookmark bar is set to "text only"...,TsunamiZ,2018-07-20T00:27:47.624Z,2,BOOKMARKS:BOOKMARKS BAR:IN PROGRESS,8,528
