ID,Title,Author,Date,Votes,Tags
31078,Support Extensions,,2018-10-10T07:21:50.291Z,216,EXTENSION:MOBILE,81,4559
32025,Native adblocking,,2018-11-07T15:47:41.187Z,170,MOBILE:ADBLOCK,69,3426
27122,Vivaldi Mobile: Address Bar at Bottom,,2018-05-02T14:04:02.069Z,107,ADDRESS BAR:MOBILE:IN PROGRESS,21,1942
32053,Text Wrap option,,2018-11-08T10:40:07.550Z,100,MOBILE:NICE TO HAVE,18,1198
40023,Allow few layouts for speed dials,,2019-09-09T10:12:44.776Z,54,IN PROGRESS,15,528
40148,Customizable search engines,,2019-09-10T19:13:36.169Z,35,IN PROGRESS,4,165
40073,Option to clear cookies on exit,,2019-09-09T20:02:10.303Z,25,PRIVACY:COOKIES,7,225
32020,"Seamless browsing experience" aka. realtime tabs syncing with PC,,2018-11-07T14:14:14.917Z,22,TABS:SYNC:MOBILE:SESSIONS,7,779
40115,Long-press tabs icon to open new tab,,2019-09-10T08:30:47.221Z,21,IN PROGRESS,12,221
31072,Utilize fingerprint scanner,,2018-10-09T22:24:16.422Z,20,MOBILE,4,461
27229,Vivaldi Mail app for mobile phones,,2018-05-06T18:23:02.293Z,18,MOBILE:EMAIL:ANDROID:APP,6,1458
32021,Finger Gestures & Tab Groups,,2018-11-07T14:39:17.775Z,18,MOBILE,4,380
32059,Thumb reachability and gestures for one-hand use (see Yandex),,2018-11-08T12:17:13.768Z,18,MOBILE:USER INTERFACE,9,864
31772,Mobile Vivaldi for iOS,,2018-10-29T13:23:53.821Z,17,MOBILE,35,11633
38732,Save Browsing History,,2019-07-09T17:22:36.926Z,17,SETTINGS:MOBILE:HISTORY,3,212
40377,Option to disable autoplay video,,2019-09-14T09:33:30.351Z,17,VIDEO,5,114
40013,UI resizing,,2019-09-09T09:17:01.313Z,16,USER INTERFACE,2,114
40654,Enable tab groups,,2019-09-20T13:06:25.394Z,15,PIPELINE,12,235
40070,Improvements to existing Reader Mode,,2019-09-09T19:19:19.627Z,14,,5,103
40183,Dark mode for web content,,2019-09-11T07:49:52.059Z,14,IN PROGRESS,4,295
40417,Built in RSS Feed,,2019-09-15T10:13:46.444Z,14,,4,113
32057,Support for Andriod Autofill framework,,2018-11-08T11:20:58.475Z,13,MOBILE,2,360
36044,Theme engine.,,2019-03-31T08:14:54.302Z,13,THEMES:MOBILE,3,247
40043,Specific mobile speed dial,,2019-09-09T13:02:19.811Z,13,,4,125
36184,Play video in background,,2019-04-03T16:29:15.857Z,12,,6,251
37546,Send button to devices synchronized as in Microsoft Edge on Android.,,2019-05-20T14:59:57.600Z,12,SYNC:BROWSERS,13,364
40077,Option to Show full address,,2019-09-09T20:09:32.687Z,12,ADDRESS BAR,3,123
40192,Edit the function buttons.,,2019-09-11T11:40:53.675Z,12,,4,120
24538,Sync with Android contacts / calendar,,2018-02-02T11:28:27.990Z,11,,1,728
40387,Cookie dialog blocker,,2019-09-14T14:37:01.390Z,11,COOKIES,3,84
40694,Choose default download folder location,,2019-09-21T09:52:24.806Z,11,,6,99
40879,Gestures,,2019-09-26T05:35:10.510Z,11,PIPELINE,19,248
31061,Import bookmarks from other mobile browsers,,2018-10-09T20:56:02.618Z,10,BOOKMARKS:MOBILE:IMPORT,1,310
32042,User Javascript/Greasemonkey support,,2018-11-08T03:24:19.713Z,10,JAVASCRIPT:MOBILE,2,373
35837,Collect links from other apps (like Firefox),,2019-03-27T10:28:16.961Z,10,MOBILE,5,224
40057,One column layout for tab list,,2019-09-09T16:45:19.853Z,10,,2,55
40078,Option to use Private mode by default,,2019-09-09T20:13:29.393Z,10,PRIVACY,8,186
40080,Manually reorder bookmarks by moving them via favicons.,,2019-09-09T20:33:10.585Z,10,BOOKMARKS,1,46
40482,Swipes from screen edges navigate back and forward,,2019-09-16T23:15:34.214Z,10,IN PROGRESS:GESTURE,12,257
31068,Include QR code scanner in mobile version,,2018-10-09T21:23:55.797Z,9,MOBILE:QR CODES,9,643
31075,A light version in addition to the standard one,,2018-10-09T23:03:26.159Z,9,MOBILE,5,690
31080,Easy way to switch pages to "offline" mode,,2018-10-10T08:55:52.315Z,9,MOBILE:OFFLINE,2,366
39354,Vivaldi mobile add-on handling design,,2019-08-11T12:42:44.737Z,9,,3,222
40044,Option to display speed dial entries as list,,2019-09-09T13:20:21.984Z,9,,1,46
40253,Speed dial/Bookmarks folders navigation,,2019-09-12T09:44:02.329Z,9,,3,102
40553,Hard reload (cache reset),,2019-09-18T13:09:23.498Z,9,,18,241
31067,Notify user when new device is added to Sync,,2018-10-09T21:21:57.071Z,8,SYNC:SECURITY:MOBILE,1,313
32412,Optimization for lower (than Chrome) power consumption,,2018-11-21T09:15:44.250Z,8,MOBILE:POWERMANAGEMENT,1,422
36868,Sticky Address Bar Option,,2019-04-27T16:45:46.848Z,8,ADDRESS BAR:MOBILE,1,183
38863,Left-handed mode,,2019-07-15T21:48:58.800Z,8,MOBILE:ACCESSIBILITY,1,116
40041,Allow disabling the bottom bar,,2019-09-09T12:50:15.538Z,8,,2,70
40141,Panel selector at the bottom,,2019-09-10T17:17:05.094Z,8,TOOLBAR:USER INTERFACE,10,162
40212,Rearrange buttons on the GUI,,2019-09-11T17:48:27.068Z,8,,1,48
40412,Option to open new tabs in foreground mode,,2019-09-15T06:04:32.992Z,8,,3,69
40695,Choose what to load at startup,,2019-09-21T10:24:08.278Z,8,,2,56
31062,Include notes browser / editor in mobile version,,2018-10-09T20:59:40.887Z,7,NOTES:MOBILE:IN PROGRESS,3,499
32140,Voice Support for Quick Commands,,2018-11-11T20:11:43.286Z,7,MOBILE:VOICE,1,340
40052,Lastpass support,,2019-09-09T16:08:46.812Z,7,,1,64
40081,Remember the last opened bookmark folder,,2019-09-09T20:36:21.245Z,7,BOOKMARKS,2,55
40455,New Session when starting,,2019-09-16T12:17:38.528Z,7,,5,96
41139,Rearrange open tabs,,2019-10-03T20:55:17.999Z,7,DONE,4,118
43483,open link in new tab and view it,,2020-01-15T21:39:29.787Z,7,,3,26
44869,The tab strip should have an option to be moved to the bottom,,2020-03-13T10:05:12.351Z,7,,2,23
33006,Tab Queue,,2018-12-13T16:51:33.977Z,6,MOBILE,3,395
40042,Keep bottom panel controls visible,,2019-09-09T12:55:33.910Z,6,TOOLBAR,1,56
40095,Enhanced notes,,2019-09-10T01:53:58.184Z,6,NOTES,4,75
40210,Add intent receiver that allows saving to a note (any selected text 🢂 Share 🢂 Vivaldi Notes),,2019-09-11T17:24:18.299Z,6,,2,75
40240,Option to Disable Accent Colours from Active Site,,2019-09-12T08:13:05.937Z,6,THEMES,5,96
40390,Possibility to use the profiles,,2019-09-14T15:09:20.269Z,6,PROFILES,1,37
42224,"Switch to tab" function,,2019-11-17T19:53:07.567Z,6,,7,112
44424,Focus address bar when opening a new tab,,2020-02-23T11:47:56.547Z,6,,8,55
32062,Orientation locking option,,2018-11-08T13:39:59.437Z,5,MOBILE,8,635
36484,Quick scrolling capabilities,,2019-04-11T16:31:08.805Z,5,MOBILE:SCROLLING,5,233
37117,Sessions,,2019-05-08T12:19:03.190Z,5,MOBILE:SESSIONS,2,280
40010,Provide option to disable font auto sizing,,2019-09-09T08:59:43.793Z,5,FONT SIZE,1,40
40028,Use larger better quality icons on Start Page,,2019-09-09T10:33:18.535Z,5,SPEED DIAL:THUMBNAILS:ICONS,2,69
40034,History: add time and device information,,2019-09-09T12:01:25.159Z,5,HISTORY,3,54
40389,Remove device name from user agent,,2019-09-14T14:46:40.008Z,5,,6,135
40679,Allow moving Vivaldi to external SD card,,2019-09-21T00:34:07.247Z,5,,4,109
41017,1Password Support for Android version,,2019-09-30T10:13:46.212Z,5,,2,110
41105,Notes Widget,,2019-10-02T22:25:27.775Z,5,,2,39
42182,Change behavior of middle bottom button when on a web page.,,2019-11-15T12:43:59.349Z,5,,5,102
42254,Is it possible to have a standard Vivaldi desktop browser for Android?,,2019-11-19T18:06:51.545Z,5,,18,357
43199,Add the ability to control Javascript per site,,2020-01-02T10:23:26.869Z,5,,3,47
43855,Scroll to top button,,2020-01-31T02:18:08.267Z,5,,2,18
29294,Vivaldi mobile as a multi media remote for the desktop client,,2018-08-10T21:58:08.453Z,4,MOBILE:MEDIA,1,357
33409,Support of Background's Floating Video Window,,2018-12-25T19:22:55.574Z,4,MOBILE,1,311
37576,SailfishOS,,2019-05-21T20:00:19.693Z,4,,5,315
37708,Application for passwords like Firefox Lockbox with synchronization.,,2019-05-27T12:52:20.375Z,4,SYNC:PASSWORDS:APP:PASSWORD MANAGER,1,161
38734,Reload page,,2019-07-09T17:59:40.516Z,4,SETTINGS:MOBILE:RELOAD,3,227
40074,Option to disable pull to refresh,,2019-09-09T20:02:33.040Z,4,,2,49
40130,Vertical Tab bar Menu,,2019-09-10T12:13:17.426Z,4,TABS,1,81
40136,Tab switch by swiping from the edge,,2019-09-10T15:12:58.863Z,4,TAB CYCLING:GESTURE,10,121
40167,Add a sort button to the note page,,2019-09-11T03:28:54.408Z,4,NOTES:PIPELINE,1,26
40805,add bulit in vpn for private window,,2019-09-24T04:31:53.942Z,4,,30,201
41064,Vivaldi Icon on the bottom!,,2019-10-01T19:39:18.954Z,4,,2,69
41165,Option to close all tabs when app is closed,,2019-10-04T14:51:37.097Z,4,,6,101
41178,Non-grid tab layout,,2019-10-05T00:16:07.150Z,4,,1,48
41726,Show changelog when opening app after an update,,2019-10-30T16:18:40.511Z,4,,1,38
42088,Asking before download,,2019-11-11T13:16:25.843Z,4,,2,47
42519,WHITELIST for autoplay.,,2019-12-04T21:21:41.419Z,4,,2,44
42868,Support for higher than 60Hz refresh rate,,2019-12-19T21:17:32.479Z,4,,3,59
43319,Make "simplified view" more subtle,,2020-01-08T15:31:04.064Z,4,,1,23
31069,QR login system for Vivaldi.net like on Aliexpress.com,,2018-10-09T21:31:46.464Z,3,MOBILE:LOGIN:QR CODES,3,585
31319,Enhanced share feature,,2018-10-16T20:14:57.946Z,3,MOBILE:SHARING,1,262
31551,Support for Amazon Kindle Fire,,2018-10-23T15:35:42.753Z,3,MOBILE,6,633
37437,The appearance of thumbnails of speed dial.,,2019-05-16T16:52:52.181Z,3,SPEED DIAL,1,200
40071,Disable animation opening new tab,,2019-09-09T19:27:39.860Z,3,ANIMATIONS,1,26
40119,Vivaldi SystemWebView,,2019-09-10T09:54:05.006Z,3,,3,115
40173,Separate default Private and Regular search engines,,2019-09-11T05:42:27.974Z,3,SEARCH ENGINES,1,24
40245,Extension's & option to change BG,,2019-09-12T09:04:51.002Z,3,,2,73
40319,Separate Notes from phone app  for easier direct access,,2019-09-13T05:23:39.741Z,3,NOTES,4,71
40350,Translation feature,,2019-09-13T14:42:46.626Z,3,,1,75
40488,Synchronise site settings,,2019-09-17T04:24:21.662Z,3,,4,73
40803,insert from note,,2019-09-24T04:19:03.738Z,3,,2,39
41156,Extended (more finegrained) startpage settings,,2019-10-04T08:52:18.260Z,3,,1,34
42940,[Android] keep tap on tab  will open a new tab,,2019-12-22T06:39:39.443Z,3,,6,74
45592,Tab sliding switch can cycle,,2020-04-10T00:38:23.958Z,3,,1,16
31065,Make it easier to integrate mobile version with third-party software,,2018-10-09T21:12:12.635Z,2,MOBILE:ANDROID:INTEGRATION:THIRD-PARTY:TASKER,2,344
31070,Use mobile instance for two-factor authentication,,2018-10-09T21:36:07.243Z,2,SECURITY:MOBILE:2FA,1,310
35336,Developer Tools (Inspect),,2019-03-09T05:32:11.875Z,1,MOBILE:DEVELOPER TOOLS,1,193
